N,PyTorch Eager (GB/s),Torch Compile (GB/s),Fused Triton (GB/s)
256.000000,20.771914,66.876028,48.765006
512.000000,18.654707,60.178191,49.107993
768.000000,18.975814,61.290997,51.100229
1024.000000,19.393688,61.641584,52.443186
1280.000000,19.637072,74.138409,53.150251
1536.000000,19.781446,74.826388,52.704676
1792.000000,19.908539,75.221977,52.883944
2048.000000,20.079428,75.471016,53.651211
2304.000000,20.112646,63.741309,53.433366
2560.000000,20.246496,66.296862,53.884294
2816.000000,20.252524,66.042280,53.732844
3072.000000,20.323157,65.695911,53.969150
3328.000000,20.322278,65.541124,54.023431
3584.000000,20.368978,65.815914,54.056527
3840.000000,20.385351,65.601602,54.050950
4096.000000,20.476917,65.185993,54.172866
