N,PyTorch Eager (GB/s),Torch Compile (GB/s),Fused Triton (GB/s)
256.000000,36.557202,195.376432,188.019913
512.000000,58.376872,210.781808,216.309555
768.000000,58.781857,216.206310,223.641327
1024.000000,59.769737,220.284503,230.672823
1280.000000,60.746080,232.505375,233.207601
1536.000000,61.445251,233.880042,234.307834
1792.000000,61.741432,233.094302,236.489638
2048.000000,62.062847,233.717703,237.211791
2304.000000,62.369906,237.295298,237.575120
2560.000000,62.642269,238.615262,238.683046
2816.000000,62.734110,239.953865,239.222166
3072.000000,62.920383,240.182140,239.715295
3328.000000,62.946450,239.000293,238.599156
3584.000000,63.106449,238.100194,237.613838
3840.000000,63.126974,237.202089,236.501392
4096.000000,63.455925,236.849193,236.434724
